"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04106817","Single Ascending Dose Challenge Study to Determine Safety and Reactogenicity of an Influenza Challenge Virus",,"Completed","Has Results","Influenza","Biological: Live, wild-type A/California/H1N1 2009 influenza virus","Viral Shedding|Seroconversion|Number and Severity of AEs","WCCT Global|Stanford University|National Institutes of Health (NIH)","All","18 Years to 45 Years   (Adult)","Phase 1","35","Industry|Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","WCCTG 14-01","January 19, 2015","August 10, 2015","August 10, 2015","September 27, 2019","November 19, 2019","January 14, 2020",,,"https://ClinicalTrials.gov/show/NCT04106817"
2,"NCT04069221","Absolute BA and OZ439 PK Effect of Different OZ439 Dose Volumes and Cobicistat Co-administration Study",,"Completed","Has Results","Malaria","Drug: Single oral dose of 800 mg OZ439|Drug: Single oral dose of 400 mg OZ439|Drug: Single oral dose of cobicistat|Drug: iv infusion of [14C]-OZ439","OZ439 Fpo|OZ439 Cmax|OZ439 C168h|OZ439 AUC0-168h|OZ439 AUC0-inf","Medicines for Malaria Venture","All","18 Years to 55 Years   (Adult)","Phase 1","26","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MMV_OZ439_16_01","February 28, 2017","May 30, 2017","May 30, 2017","August 28, 2019","November 26, 2019","November 26, 2019","PRA Health Sciences (PRA) - Early Development Services (EDS), Groningen, Netherlands","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT04069221/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT04069221/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04069221"
3,"NCT04032652","Use of Rectal Dialysis Technique to Measure Rectal 5-ASA Levels in Healthy Volunteers Receiving Asacol",,"Terminated","Has Results","Ulcerative Colitis","Procedure: Rectal dialysis|Drug: Rectal dialysis","Detection of 5-ASA|Change in Detected 5-ASA With Change in Ingested Asacol Dose","NorthShore University HealthSystem","All","18 Years to 45 Years   (Adult)","Phase 2","2","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","EH 11-364","December 2012","November 2014","December 5, 2014","July 25, 2019","October 15, 2019","October 15, 2019",,,"https://ClinicalTrials.gov/show/NCT04032652"
4,"NCT04027218","Clinical Trial to Assess the Effectiveness of Applying Dry Local Heat and/ or High Tourniquet Pressure for Venipuncture.","ECYPVEN-H/17","Completed","Has Results","Venipuncture|Healthy Adult","Device: Dry heat|Device: High pressure|Device: Combination of dry heat and high pressure","Number of Participants With Successful Venous Catheterization at the First Attempt|Number of the Grade of Venous International Assessment (VIA) Scale After Application of Intervention|Number of the Grade in Visual Analogue Scale (VAS) for Pain After Intervention|Number of Participants in Each Type of Skin Standardized According to Fitzpatrick Scale|Level of Hemolysis in Absorbance Units|Number of Participants With Adverse Events","Universidad Complutense de Madrid|Fundación de Investigación Biomédica - Hospital Universitario de La Princesa","All","18 Years to 55 Years   (Adult)","Not Applicable","62","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Investigator)|Primary Purpose: Supportive Care","3113","July 9, 2017","July 23, 2017","April 3, 2018","July 19, 2019","October 30, 2019","November 13, 2019","Leticia Carmen Simón López, Madrid, Spain","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/18/NCT04027218/Prot_SAP_ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04027218"
5,"NCT04015232","Comparative Immunogenicity Study of Multiple Doses of Proposed Pegfilgrastim Biosimilar, INTP5 of Intas Pharmaceuticals Ltd., India Against Neulasta of Amgen Inc., USA in Healthy, Adult Human Subjects.",,"Completed","Has Results","Immunogenicity|Healthy Volunteers","Combination Product: INTP5|Combination Product: US Neulasta","Immunogenicity Screening Incidence to Detect the Presence of Anti-PegG-CSF Antibodies.|PK Endpoints: Pegfilgrastim C[Max]|PK Endpoints: Pegfilgrastim AUC[0-t]|PK Endpoints: Pegfilgrastim AUC[0-∞]|PK Endpoints: Pegfilgrastim T[Max]|PK Endpoints: Pegfilgrastim λz (Lambda-z)|PK Endpoints: Pegfilgrastim R^2 Adjusted|PK Endpoints: Pegfilgrastim AUC[_%Extrap_Obs]|PK Endpoints: Pegfilgrastim t[1/2]|PD Endpoints for Baseline Non-adjusted ANC: E[Max]|PD Endpoints for Baseline Non-adjusted ANC: T[Max]|PD Endpoints for Baseline Non-adjusted ANC: AUEC[0-t]|PD Endpoints for Baseline Adjusted ANC: E[Max]|PD Endpoints for Baseline Adjusted ANC: AUEC[0-t]|PD Endpoints for Baseline Adjusted ANC: T[Max]|PD Endpoints for Baseline Adjusted ANC: λz (Lambda-z)|PD Endpoints for Baseline Adjusted ANC: t[1/2]","Intas Pharmaceuticals, Ltd.|Lambda Therapeutic Research Ltd.","All","18 Years to 45 Years   (Adult)","Phase 1","200","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other","0554-17","February 26, 2018","June 5, 2018","June 5, 2018","July 10, 2019","October 4, 2019","October 4, 2019","Lambda Therapeutic Research Ltd., Ahmedabad, Gota, India","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT04015232/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/32/NCT04015232/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04015232"
6,"NCT04014062","Comparative, Pharmacokinetic and Pharmacodynamic Study of Subcutaneous Injections of INTP5 of Intas Pharmaceuticals Ltd., India Against Neulasta of Amgen Inc., USA in Healthy, Adult Human Subjects.",,"Completed","Has Results","Pharmacokinetic Bioequivalence Study in Human Healthy Volunteers","Combination Product: INTP5|Combination Product: US Neulasta","Pharmacokinetic (PK) Endpoints: Pegfilgrastim C[Max]|Pharmacokinetic (PK) Endpoints: Pegfilgrastim AUC[0-infinity]|Pharmacodynamic (PD) Endpoints: E[Max] for Baseline Non-adjusted ANC|Pharmacodynamic (PD) Endpoints: AUEC[0-t] for Baseline Non-adjusted ANC|PK Endpoint: Pegfilgrastim AUC[0-t]|PK Endpoint: Pegfilgrastim T[Max]|PK Endpoint: Pegfilgrastim λz(Lambda-z)|PK Endpoint: Pegfilgrastim R^2 Adjusted|PK Endpoint: Pegfilgrastim t[1/2]|PK Endpoint: Pegfilgrastim AUC[_Percent_Extrap_Obs]|PD Endpoint: T[Max] for Baseline Non-adjusted ANC|PD Endpoint: E[Max], Baseline-adjusted ANC|PD Endpoint: AUEC[0-t], Baseline-adjusted ANC|PD Endpoint: T[Max], Baseline-adjusted ANC|PD Endpoint: λz(Lamda-z) and Baseline-adjusted ANC|PD Endpoint: t[1/2] for Baseline-adjusted ANC","Intas Pharmaceuticals, Ltd.|Lambda Therapeutic Research Ltd.","All","18 Years to 45 Years   (Adult)","Phase 1","144","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other","0553-17","February 12, 2018","May 1, 2018","May 1, 2018","July 10, 2019","October 4, 2019","October 4, 2019","Lambda Therapeutic Research Ltd., Ahmedabad, Gota, India","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT04014062/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT04014062/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04014062"
7,"NCT03966365","Safety and Tolerability of the Preservative-free Ophthalmic Solution PRO-122 Compared With Krytantek Ofteno®","PRO-122/I","Completed","Has Results","Glaucoma","Drug: PRO-122|Drug: Krytantek Ofteno®","Number of Adverse Events|Eye Comfort Index|Number of Eyes With Epithelial Defects by Grade|Visual Ability|Participants With Conjunctival Hyperemia (CH) by Grade|Participants With Chemosis","Laboratorios Sophia S.A de C.V.","All","18 Years to 45 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SOPH122-0518/I","May 2, 2019","August 30, 2019","August 30, 2019","May 29, 2019","December 13, 2019","December 13, 2019","Unidad Clínica de Bioequivalencia, S. de R.L. de C.V., Guadalajara, Jalisco, Mexico","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03966365/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03966365"
8,"NCT03965052","Safety and Tolerability of the Ophthalmic Solution PRO-179 Compared With Travatan®","PRO-179/I","Completed","Has Results","Glaucoma","Drug: PRO 179|Drug: Travatan 0.004 % Ophthalmic Solution","Number of Participants With Adverse Events|Eye Comfort Index|Number of Eyes With Epithelial Defects by Grade|Visual Ability|Percentage of Eyes With Conjunctival Hyperemia (CH) by Grade|Number of Eyes of Chemosis","Laboratorios Sophia S.A de C.V.","All","18 Years to 45 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SOPH179-0818/I","April 24, 2019","July 2, 2019","August 29, 2019","May 28, 2019","December 12, 2019","December 12, 2019","Jose Navarro Partida, Guadalajara, Jalisco, Mexico","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT03965052/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03965052"
9,"NCT03902392","Red Grape Polyphenol Oral Administration to Women Affected by Nickel-mediated Allergic Contact Dermatitis","Grapolyphen","Completed","Has Results","Allergic Contact Dermatitis","Dietary Supplement: NaturOx Group (A)|Other: Placebo Group (B)","Evaluation of Serum Biomarker Concentrations at the Time of Enrollment (T0)|Evaluation of Serum Biomarker Concentrations at the End of the Treatment (T1)","University of Bari","Female","25 Years to 60 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","5480","April 16, 2018","September 10, 2018","October 31, 2018","April 4, 2019","January 2, 2020","January 2, 2020","Thea Magrone, Bari, Italy","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT03902392/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT03902392/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03902392"
10,"NCT03894449","Probing the Synergistic Effect of Pre-Biotics & Iron Fortificants in Anemic Subjects",,"Completed","Has Results","Iron-deficiency","Combination Product: Prebiotic + Iron Forificant","Change in Hemoglobin Concentration From Baseline to 90 Days|Change in Hematocrit in Concentration From Baseline to 90 Days|Change in Mean Corpuscular Volume From Baseline to 90 Days|Change in Mean Corpuscular Hemoglobin From Baseline to 90 Days|Change in Mean Corpuscular Hemoglobin Concentration From Baseline to 90 Days|Change in Serum Iron Levels From Baseline to 90 Days|Change in Serum Folate Levels From Baseline to 90 Days|Change in Serum Ferritin Levels From Baseline to 90 Days|Change in Serum Transferrin Levels From Baseline to 90 Days|Change in Transferrin Saturation Factor Levels From Baseline to 90 Days|Change in Total Iron Binding Capacity Levels From Baseline to 90 Days|Change in Liver Functions Tests (ALT) From Baseline to 90 Days|Change in Liver Functions Tests (AST) From Baseline to 90 Days|Change in Liver Functions Tests (ALP) From Baseline to 90 Days|Change in Liver Functions Tests (Total Bilirubin) From Baseline to 90 Days|Change in Renal Functions Tests (Serum Urea) From Baseline to 90 Days|Change in Renal Functions Tests (Serum Creatinine) From Baseline to 90 Days|Change in Immunoglobulins (IgA) From Baseline to 90 Days|Change in Immunoglobulins (IgE) From Baseline to 90 Days|Change in Immunoglobulins (IgG) From Baseline to 90 Days|Change in Immunoglobulins (IgM) From Baseline to 90 Days","University of Veterinary and Animal Sciences, Lahore - Pakistan","Female","18 Years to 25 Years   (Adult)","Phase 1|Phase 2","75","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2015-VA-04","April 6, 2019","July 6, 2019","July 6, 2019","March 28, 2019","August 22, 2019","August 22, 2019","University of Veterinary and Animal Sciences, Lahore, Punjab, Pakistan","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/49/NCT03894449/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/49/NCT03894449/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03894449"
